categoria	tabela	coluna	descricao	acao_sugerida	fonte_url	observacao
CPF cidadão	tb_acomp_cidadaos_vinculados	nu_cpf_cidadao	texto | CPF do cidadão.	Substituir por CPF ficticio valido, mantendo regra por entidade se precisar preservar vinculos.	https://integracao.esusaps.bridge.ufsc.tech/dw/visualizacoes/acompanhamento_cidadaos_vinculados.html	Achado em linha de tabela da documentacao DW.
CPF cidadão	tb_dim_cidacao_pec_grupo	co_identificacao	Código de identificação do cidadão. CNS, CPF ou Número do UUID de Origem	Substituir por CPF ficticio valido, mantendo regra por entidade se precisar preservar vinculos.	https://integracao.esusaps.bridge.ufsc.tech/dw/dimensoes/dim_cidadao_pec_grupo.html	Achado em linha de tabela da documentacao DW.
CPF cidadão	tb_dim_cidacao_pec_grupo	tp_identificacao	0 - UUID de Origem, 1 - CNS e 2 - CPF	Substituir por CPF ficticio valido, mantendo regra por entidade se precisar preservar vinculos.	https://integracao.esusaps.bridge.ufsc.tech/dw/dimensoes/dim_cidadao_pec_grupo.html	Achado em linha de tabela da documentacao DW.
CPF cidadão	tb_fat_atd_ind_exames	nu_cpf_cidadao	cpfCidadao | CPF do cidadão	Substituir por CPF ficticio valido, mantendo regra por entidade se precisar preservar vinculos.	https://integracao.esusaps.bridge.ufsc.tech/dw/fatos/atendimento_individual/tb_fat_atd_ind_exames.html	Achado em linha de tabela da documentacao DW.
CPF cidadão	tb_fat_atd_ind_medicamentos	nu_cpf_cidadao	cpfCidadao | CPF do cidadão	Substituir por CPF ficticio valido, mantendo regra por entidade se precisar preservar vinculos.	https://integracao.esusaps.bridge.ufsc.tech/dw/fatos/atendimento_individual/tb_fat_atd_ind_medicamentos.html	Achado em linha de tabela da documentacao DW.
CPF cidadão	tb_fat_atd_ind_problemas	nu_cpf_cidadao	cpfCidadao | CPF do cidadão	Substituir por CPF ficticio valido, mantendo regra por entidade se precisar preservar vinculos.	https://integracao.esusaps.bridge.ufsc.tech/dw/fatos/atendimento_individual/tb_fat_atd_ind_problemas.html	Achado em linha de tabela da documentacao DW.
CPF cidadão	tb_fat_atd_ind_procedimentos	nu_cpf_cidadao	cpfCidadao | CPF do cidadão	Substituir por CPF ficticio valido, mantendo regra por entidade se precisar preservar vinculos.	https://integracao.esusaps.bridge.ufsc.tech/dw/fatos/atendimento_individual/tb_fat_atd_ind_procedimentos.html	Achado em linha de tabela da documentacao DW.
CPF cidadão	tb_fat_atend_odonto_encaminham	nu_cpf_cidadao	cpfCidadao | CPF do cidadão	Substituir por CPF ficticio valido, mantendo regra por entidade se precisar preservar vinculos.	https://integracao.esusaps.bridge.ufsc.tech/dw/fatos/atendimento_odontologico/tb_fat_atend_odonto_encaminham.html	Achado em linha de tabela da documentacao DW.
CPF cidadão	tb_fat_atend_odonto_exames	nu_cpf_cidadao	cpfCidadao | CPF do cidadão	Substituir por CPF ficticio valido, mantendo regra por entidade se precisar preservar vinculos.	https://integracao.esusaps.bridge.ufsc.tech/dw/fatos/atendimento_odontologico/tb_fat_atend_odonto_exames.html	Achado em linha de tabela da documentacao DW.
CPF cidadão	tb_fat_atend_odonto_medicament	nu_cpf_cidadao	cpfCidadao | CPF do cidadão	Substituir por CPF ficticio valido, mantendo regra por entidade se precisar preservar vinculos.	https://integracao.esusaps.bridge.ufsc.tech/dw/fatos/atendimento_odontologico/tb_fat_atend_odonto_medicament.html	Achado em linha de tabela da documentacao DW.
CPF cidadão	tb_fat_atend_odonto_problemas	nu_cpf_cidadao	cpfCidadao | CPF do cidadão	Substituir por CPF ficticio valido, mantendo regra por entidade se precisar preservar vinculos.	https://integracao.esusaps.bridge.ufsc.tech/dw/fatos/atendimento_odontologico/tb_fat_atend_odonto_problemas.html	Achado em linha de tabela da documentacao DW.
CPF cidadão	tb_fat_atend_odonto_proced	nu_cpf_cidadao	cpfCidadao | CPF do cidadão	Substituir por CPF ficticio valido, mantendo regra por entidade se precisar preservar vinculos.	https://integracao.esusaps.bridge.ufsc.tech/dw/fatos/atendimento_odontologico/tb_fat_atend_odonto_proced.html	Achado em linha de tabela da documentacao DW.
CPF cidadão	tb_fat_atendimento_individual	nu_cpf_cidadao	cpfCidadao | CPF do cidadão	Substituir por CPF ficticio valido, mantendo regra por entidade se precisar preservar vinculos.	https://integracao.esusaps.bridge.ufsc.tech/dw/fatos/atendimento_individual/tb_fat_atendimento_individual.html	Achado em linha de tabela da documentacao DW.
CPF cidadão	tb_fat_atendimento_odonto	nu_cpf_cidadao	cpfCidadao | CPF do cidadão	Substituir por CPF ficticio valido, mantendo regra por entidade se precisar preservar vinculos.	https://integracao.esusaps.bridge.ufsc.tech/dw/fatos/atendimento_odontologico/tb_fat_atendimento_odonto.html	Achado em linha de tabela da documentacao DW.
CPF cidadão	tb_fat_cuidado_compartilhado	nu_cpf_cidadao	cpfCidadao | CPF do cidadão	Substituir por CPF ficticio valido, mantendo regra por entidade se precisar preservar vinculos.	https://integracao.esusaps.bridge.ufsc.tech/dw/fatos/cuidado_compartilhado/tb_fat_cuidado_compartilhado.html	Achado em linha de tabela da documentacao DW.
CPF cidadão	tb_fat_ivcf	nu_cpf_cidadao	cpfCidadao | CPF do cidadão	Substituir por CPF ficticio valido, mantendo regra por entidade se precisar preservar vinculos.	https://integracao.esusaps.bridge.ufsc.tech/dw/fatos/ivcf/ivcf.html	Achado em linha de tabela da documentacao DW.
CPF cidadão	tb_fat_marca_consumo_alimnt	nu_cpf_cidadao	cpfCidadao | CPF do cidadão	Substituir por CPF ficticio valido, mantendo regra por entidade se precisar preservar vinculos.	https://integracao.esusaps.bridge.ufsc.tech/dw/fatos/marcadores_consumo_alimentar.html	Achado em linha de tabela da documentacao DW.
CPF cidadão	tb_fat_proced_atend	nu_cpf_cidadao	cpfCidadao | CPF do cidadão	Substituir por CPF ficticio valido, mantendo regra por entidade se precisar preservar vinculos.	https://integracao.esusaps.bridge.ufsc.tech/dw/fatos/procedimentos/tb_fat_proced_atend.html	Achado em linha de tabela da documentacao DW.
CPF cidadão	tb_fat_proced_atend_proced	nu_cpf_cidadao	cpfCidadao | CPF do cidadão	Substituir por CPF ficticio valido, mantendo regra por entidade se precisar preservar vinculos.	https://integracao.esusaps.bridge.ufsc.tech/dw/fatos/procedimentos/tb_fat_proced_atend_proced.html	Achado em linha de tabela da documentacao DW.
CPF cidadão	tb_fat_solicitacao_oci	nu_cpf_cidadao	cpfCidadao | CPF do cidadão	Substituir por CPF ficticio valido, mantendo regra por entidade se precisar preservar vinculos.	https://integracao.esusaps.bridge.ufsc.tech/dw/fatos/oci/tb_fat_solicitacao_oci.html	Achado em linha de tabela da documentacao DW.
E-mail cidadão	tb_fat_avaliacao_elegibilidade	no_email	Campo listado como criptografado no registro.	Substituir por cidadao@teste.br.	https://integracao.esusaps.bridge.ufsc.tech/dw/fatos/avaliacao_elegibilidade.html	Campo apareceu em lista de campos criptografados, nao em uma linha da tabela de estrutura.
E-mail cidadão	tb_fat_cad_individual	no_email	Campo listado como criptografado no registro.	Substituir por cidadao@teste.br.	https://integracao.esusaps.bridge.ufsc.tech/dw/fatos/cadastro_individual.html	Campo apareceu em lista de campos criptografados, nao em uma linha da tabela de estrutura.
Nome unidade de saúde	tb_dim_unidade_saude	no_unidade_saude	Nome/denominacao da unidade de saude (coluna provavel da dimensao; confirmar no banco fisico).	Substituir por Unidade de Saude 1, Unidade de Saude 2, etc.	https://integracao.esusaps.bridge.ufsc.tech/dw/dimensoes/index.html	A documentacao oficial lista tb_dim_unidade_saude, mas nao detalha campos; nome da coluna inferido pelo padrao do DW/e-SUS.
